Symptoms,Severity
mild severe episode of heart cramps,Low
temporary arm rash,Low
moderate sudden onset of kidney congestion,Low
mild back pain,Low
moderate abdomen numbness,Low
mild acute case of hand tremor,Low
moderate gradual leg inflammation,Low
manageable shoulder stiffness,Low
moderate gradual lung fracture,Low
slight gradual back inflammation,Low
tiny severe episode of back spasm,Low
mild liver burns,Low
localized arm fracture,Low
minor lung cramps,Low
intermittent chest shock,Low
localized liver swelling,Low
temporary throat fatigue,Low
low-grade chest tremor,Low
moderate slight case of foot obstruction,Low
manageable throat congestion,Low
slight eye infection,Low
mild sudden lung trauma,Low
occasional occasional kidney spasm,Low
low-grade eye pain,Low
small ear inflammation,Low
slight sudden onset of leg bleeding,Low
moderate ear burns,Low
manageable episodic knee bleeding,Low
small chronic stomach trauma,Low
mild head burns,Low
tiny sudden onset of kidney pain,Low
occasional head infection,Low
localized arm spasm,Low
localized recurring back infection,Low
localized chronic foot obstruction,Low
localized hand pain,Low
temporary ear spasm,Low
subtle acute case of hand numbness,Low
occasional stomach fatigue,Low
slight severe episode of head ulcer,Low
minor stomach infection,Low
subtle shoulder trauma,Low
transient hand pain,Low
slight occasional nose spasm,Low
low-grade liver weakness,Low
small sudden onset of back cramps,Low
sporadic constant stomach numbness,Low
mild heart fatigue,Low
low-grade knee shock,Low
slight constant stomach infection,Low
slight progressive head trauma,Low
intermittent neck congestion,Low
transient occasional heart obstruction,Low
slight recurring arm fracture,Low
moderate foot burns,Low
minor foot obstruction,Low
localized neck failure,Low
tiny sudden ear spasm,Low
localized progressive heart obstruction,Low
temporary slight case of liver shock,Low
occasional severe episode of arm infection,Low
localized gradual nose trauma,Low
low-grade constant chest congestion,Low
intermittent abdomen swelling,Low
small foot fatigue,Low
mild leg shock,Low
minor liver inflammation,Low
mild abdomen ulcer,Low
slight progressive abdomen spasm,Low
transient hand trauma,Low
intermittent back trauma,Low
occasional lung failure,Low
localized knee ulcer,Low
mild gradual kidney trauma,Low
manageable ear trauma,Low
sporadic hand obstruction,Low
mild leg burns,Low
tiny chronic lung congestion,Low
intermittent foot fatigue,Low
moderate chronic abdomen trauma,Low
manageable occasional hand burns,Low
intermittent liver obstruction,Low
subtle progressive stomach stiffness,Low
small severe episode of arm stiffness,Low
small chronic stomach numbness,Low
subtle recurring kidney pain,Low
slight occasional ear swelling,Low
transient eye inflammation,Low
small episodic throat inflammation,Low
localized kidney rash,Low
temporary recurring leg numbness,Low
low-grade foot cramps,Low
transient constant shoulder spasm,Low
slight chronic throat infection,Low
transient sudden shoulder swelling,Low
intermittent liver trauma,Low
mild recurring knee failure,Low
low-grade lung swelling,Low
intermittent chronic chest numbness,Low
sporadic shoulder spasm,Low
occasional lung tremor,Low
manageable slight case of ear bleeding,Low
intermittent kidney numbness,Low
temporary gradual leg failure,Low
mild neck numbness,Low
temporary occasional foot numbness,Low
transient sudden stomach tremor,Low
subtle severe episode of liver spasm,Low
occasional slight case of knee trauma,Low
moderate episodic shoulder lesion,Low
temporary back rash,Low
tiny gradual abdomen ulcer,Low
tiny sudden nose obstruction,Low
subtle sudden onset of heart burns,Low
mild episodic liver failure,Low
moderate chest shock,Low
manageable nose inflammation,Low
intermittent gradual chest stiffness,Low
small chest congestion,Low
minor back obstruction,Low
slight kidney stiffness,Low
mild chronic liver fracture,Low
transient constant throat failure,Low
localized constant neck fracture,Low
intermittent slight case of lung cramps,Low
occasional nose shock,Low
temporary episodic leg fatigue,Low
manageable nose lesion,Low
tiny sudden onset of head weakness,Low
tiny back rash,Low
occasional arm ulcer,Low
manageable eye palpitations,Low
slight severe episode of stomach swelling,Low
localized foot obstruction,Low
temporary arm inflammation,Low
localized acute case of throat rash,Low
minor occasional leg shock,Low
localized shoulder lesion,Low
low-grade heart cramps,Low
moderate severe episode of eye rash,Low
localized progressive abdomen bleeding,Low
localized episodic arm tremor,Low
temporary occasional foot ulcer,Low
manageable recurring eye ulcer,Low
tiny leg numbness,Low
localized kidney lesion,Low
low-grade neck shock,Low
occasional slight case of nose rash,Low
minor head stiffness,Low
localized gradual chest infection,Low
tiny chronic throat swelling,Low
intermittent knee weakness,Low
transient shoulder swelling,Low
sporadic severe episode of knee lesion,Low
temporary ear trauma,Low
manageable hand numbness,Low
low-grade ear ulcer,Low
mild acute case of chest fracture,Low
sporadic severe episode of neck tremor,Low
mild back weakness,Low
minor ear pain,Low
subtle sudden onset of knee palpitations,Low
mild sudden ear congestion,Low
moderate back pain,Low
transient neck lesion,Low
temporary sudden lung weakness,Low
minor acute case of hand cramps,Low
sporadic acute case of head failure,Low
transient shoulder tremor,Low
temporary knee fracture,Low
transient progressive ear palpitations,Low
low-grade constant liver bleeding,Low
moderate leg cramps,Low
intermittent sudden leg tremor,Low
small sudden stomach obstruction,Low
localized occasional throat congestion,Low
sporadic chest congestion,Low
manageable constant nose ulcer,Low
tiny acute case of shoulder tremor,Low
minor heart infection,Low
occasional nose tremor,Low
slight foot shock,Low
transient hand bleeding,Low
subtle nose infection,Low
small recurring shoulder trauma,Low
transient sudden onset of throat weakness,Low
subtle constant stomach obstruction,Low
manageable neck rash,Low
low-grade chest bleeding,Low
occasional chronic throat swelling,Low
small nose obstruction,Low
localized abdomen infection,Low
intermittent throat bleeding,Low
tiny kidney swelling,Low
minor eye inflammation,Low
small eye fracture,Low
mild heart inflammation,Low
minor hand weakness,Low
moderate lung swelling,Low
localized sudden onset of lung numbness,Low
mild chest pain,Low
localized foot trauma,Low
intermittent leg congestion,Low
slight kidney infection,Low
transient lung obstruction,Low
manageable acute case of head fracture,Low
sporadic episodic arm failure,Low
occasional abdomen infection,Low
manageable liver stiffness,Low
transient shoulder palpitations,Low
manageable sudden onset of lung weakness,Low
temporary nose failure,Low
small progressive foot congestion,Low
temporary nose pain,Low
mild recurring neck lesion,Low
intermittent head swelling,Low
localized sudden liver failure,Low
localized stomach stiffness,Low
low-grade chest fatigue,Low
low-grade gradual kidney numbness,Low
localized progressive arm fracture,Low
small progressive kidney inflammation,Low
temporary gradual shoulder lesion,Low
slight severe episode of stomach infection,Low
minor eye lesion,Low
tiny occasional leg bleeding,Low
intermittent heart infection,Low
transient hand tremor,Low
mild arm tremor,Low
manageable gradual abdomen palpitations,Low
low-grade foot pain,Low
subtle episodic stomach weakness,Low
localized acute case of chest fatigue,Low
tiny knee inflammation,Low
moderate sudden hand weakness,Low
subtle gradual nose bleeding,Low
slight eye congestion,Low
moderate occasional throat lesion,Low
minor recurring hand spasm,Low
intermittent foot bleeding,Low
occasional stomach trauma,Low
tiny head cramps,Low
sporadic recurring shoulder ulcer,Low
moderate slight case of stomach trauma,Low
minor acute case of heart obstruction,Low
moderate abdomen bleeding,Low
mild neck fatigue,Low
transient constant shoulder lesion,Low
moderate recurring liver fracture,Low
mild heart rash,Low
low-grade head rash,Low
manageable arm ulcer,Low
occasional chronic kidney stiffness,Low
intermittent head bleeding,Low
low-grade throat weakness,Low
temporary abdomen stiffness,Low
temporary foot palpitations,Low
temporary liver weakness,Low
temporary sudden arm obstruction,Low
sporadic sudden onset of foot tremor,Low
intermittent gradual hand pain,Low
small progressive leg infection,Low
localized sudden onset of throat inflammation,Low
low-grade stomach lesion,Low
mild liver congestion,Low
temporary slight case of foot fracture,Low
minor slight case of arm spasm,Low
tiny eye infection,Low
intermittent abdomen bleeding,Low
minor chest rash,Low
occasional constant arm trauma,Low
temporary hand bleeding,Low
small episodic stomach stiffness,Low
sporadic chronic ear pain,Low
localized gradual neck weakness,Low
intermittent occasional knee tremor,Low
sporadic gradual lung stiffness,Low
manageable episodic throat spasm,Low
sporadic kidney lesion,Low
occasional head palpitations,Low
occasional foot fracture,Low
transient shoulder spasm,Low
intermittent nose fatigue,Low
small chest infection,Low
intermittent episodic heart burns,Low
minor acute case of eye tremor,Low
mild constant nose congestion,Low
transient acute case of eye fatigue,Low
sporadic hand congestion,Low
sporadic occasional neck rash,Low
minor progressive kidney inflammation,Low
localized liver lesion,Low
slight knee obstruction,Low
intermittent ear bleeding,Low
transient occasional ear palpitations,Low
small acute case of throat swelling,Low
manageable acute case of leg cramps,Low
occasional slight case of eye ulcer,Low
moderate stomach rash,Low
temporary sudden throat numbness,Low
tiny gradual ear shock,Low
slight sudden onset of eye trauma,Low
manageable occasional arm obstruction,Low
minor heart ulcer,Low
small hand lesion,Low
transient gradual head ulcer,Low
moderate heart trauma,Low
transient eye fatigue,Low
slight ear spasm,Low
minor eye burns,Low
minor chest failure,Low
minor constant ear spasm,Low
transient heart obstruction,Low
slight leg fatigue,Low
transient recurring foot stiffness,Low
tiny gradual throat burns,Low
small acute case of heart shock,Low
moderate episodic kidney tremor,Low
moderate gradual chest swelling,Low
small acute case of kidney ulcer,Low
manageable sudden onset of shoulder obstruction,Low
occasional throat weakness,Low
transient leg lesion,Low
intermittent heart fatigue,Low
temporary sudden onset of eye spasm,Low
localized gradual ear palpitations,Low
temporary progressive abdomen failure,Low
mild ear numbness,Low
slight stomach obstruction,Low
tiny sudden onset of nose fatigue,Low
low-grade liver shock,Low
slight kidney ulcer,Low
mild chronic arm congestion,Low
mild abdomen inflammation,Low
slight stomach inflammation,Low
tiny heart fatigue,Low
subtle chronic eye bleeding,Low
localized recurring heart tremor,Low
low-grade constant lung failure,Low
tiny kidney congestion,Low
sporadic lung fracture,Low
moderate shoulder failure,Low
small gradual kidney tremor,Low
occasional progressive kidney weakness,Low
manageable leg shock,Low
occasional slight case of ear congestion,Low
manageable acute case of heart weakness,Low
low-grade shoulder cramps,Low
localized recurring leg bleeding,Low
slight progressive shoulder tremor,Low
occasional slight case of heart failure,Low
sporadic leg trauma,Low
occasional progressive throat fracture,Low
subtle knee burns,Low
sporadic neck shock,Low
subtle constant foot failure,Low
small hand rash,Low
intermittent sudden ear ulcer,Low
intermittent recurring arm congestion,Low
tiny sudden hand rash,Low
subtle recurring chest fracture,Low
subtle kidney obstruction,Low
localized back congestion,Low
slight kidney fracture,Low
small heart palpitations,Low
sporadic gradual ear cramps,Low
intermittent acute case of back obstruction,Low
subtle severe episode of eye infection,Low
manageable throat pain,Low
sporadic sudden chest ulcer,Low
transient severe episode of throat infection,Low
temporary eye spasm,Low
occasional ear rash,Low
minor progressive heart bleeding,Low
sporadic heart obstruction,Low
moderate head spasm,Low
sporadic shoulder pain,Low
occasional lung congestion,Low
low-grade slight case of heart numbness,Low
subtle ear obstruction,Low
transient chest bleeding,Low
minor sudden onset of stomach tremor,Low
low-grade sudden throat rash,Low
minor chest burns,Low
slight back stiffness,Low
minor leg palpitations,Low
mild neck palpitations,Low
tiny progressive knee shock,Low
manageable severe episode of nose inflammation,Low
low-grade slight case of shoulder rash,Low
subtle gradual throat failure,Low
low-grade episodic head numbness,Low
low-grade abdomen trauma,Low
tiny stomach congestion,Low
moderate shoulder pain,Low
transient gradual arm lesion,Low
low-grade throat inflammation,Low
temporary arm obstruction,Low
subtle recurring kidney burns,Low
mild chest cramps,Low
transient sudden onset of foot fracture,Low
small nose ulcer,Low
transient recurring back ulcer,Low
manageable head bleeding,Low
manageable back failure,Low
localized arm shock,Low
temporary arm numbness,Low
intermittent gradual foot cramps,Low
occasional constant knee failure,Low
low-grade severe episode of leg fracture,Low
occasional head fracture,Low
low-grade slight case of knee fracture,Low
subtle arm fatigue,Low
occasional gradual foot infection,Low
moderate severe episode of eye bleeding,Low
transient recurring arm lesion,Low
small acute case of throat palpitations,Low
minor lung bleeding,Low
slight head cramps,Low
localized back palpitations,Low
subtle chest inflammation,Low
localized slight case of leg tremor,Low
sporadic chest swelling,Low
occasional heart infection,Low
occasional recurring ear failure,Low
transient head burns,Low
subtle severe episode of neck ulcer,Low
slight occasional knee spasm,Low
slight occasional shoulder palpitations,Low
small acute case of back shock,Low
localized chronic neck inflammation,Low
manageable episodic neck inflammation,Low
transient foot fracture,Low
tiny nose stiffness,Low
tiny heart stiffness,Low
occasional occasional ear inflammation,Low
small sudden onset of heart tremor,Low
subtle episodic hand failure,Low
transient chronic hand palpitations,Low
slight eye failure,Low
small sudden foot numbness,Low
localized kidney cramps,Low
manageable knee pain,Low
low-grade chronic heart fatigue,Low
moderate slight case of leg obstruction,Low
temporary chest spasm,Low
small sudden knee shock,Low
localized occasional lung weakness,Low
tiny ear rash,Low
tiny eye swelling,Low
transient eye spasm,Low
subtle slight case of knee congestion,Low
small kidney shock,Low
tiny liver palpitations,Low
localized foot trauma,Low
occasional arm weakness,Low
small stomach ulcer,Low
tiny liver numbness,Low
transient stomach ulcer,Low
moderate ear burns,Low
transient kidney cramps,Low
localized chronic heart ulcer,Low
minor recurring lung stiffness,Low
minor abdomen trauma,Low
sporadic nose burns,Low
transient ear infection,Low
slight chronic arm cramps,Low
manageable lung inflammation,Low
transient knee spasm,Low
temporary progressive foot pain,Low
small gradual hand palpitations,Low
tiny throat obstruction,Low
minor acute case of liver palpitations,Low
small chronic lung shock,Low
sporadic constant liver stiffness,Low
transient sudden onset of abdomen pain,Low
moderate kidney bleeding,Low
subtle episodic lung trauma,Low
subtle head failure,Low
slight throat fracture,Low
mild liver infection,Low
subtle head fracture,Low
tiny eye failure,Low
temporary occasional nose fatigue,Low
moderate eye numbness,Low
sporadic chest obstruction,Low
localized progressive lung stiffness,Low
transient neck fracture,Low
temporary sudden eye inflammation,Low
subtle stomach fatigue,Low
slight slight case of abdomen pain,Low
tiny constant chest spasm,Low
moderate chronic abdomen fatigue,Low
localized slight case of arm fracture,Low
subtle head stiffness,Low
slight recurring head lesion,Low
tiny abdomen fracture,Low
sporadic lung spasm,Low
tiny arm weakness,Low
occasional recurring head burns,Low
slight kidney congestion,Low
sporadic occasional back palpitations,Low
manageable sudden nose cramps,Low
intermittent lung infection,Low
manageable sudden arm spasm,Low
transient acute case of foot obstruction,Low
temporary episodic throat cramps,Low
temporary sudden onset of head fatigue,Low
small episodic leg fracture,Low
intermittent ear spasm,Low
sporadic recurring leg lesion,Low
sporadic throat numbness,Low
tiny sudden onset of nose swelling,Low
moderate slight case of leg ulcer,Low
intermittent chronic back congestion,Low
manageable chest congestion,Low
intermittent slight case of head trauma,Low
slight knee cramps,Low
sporadic eye inflammation,Low
localized chest ulcer,Low
transient chronic arm burns,Low
subtle heart palpitations,Low
low-grade severe episode of lung rash,Low
mild hand palpitations,Low
localized chest tremor,Low
slight back fatigue,Low
intermittent sudden onset of arm congestion,Low
moderate slight case of throat spasm,Low
mild stomach weakness,Low
subtle heart fatigue,Low
sporadic leg bleeding,Low
slight lung ulcer,Low
intermittent chronic chest ulcer,Low
transient foot weakness,Low
sporadic gradual neck burns,Low
slight liver congestion,Low
low-grade episodic ear stiffness,Low
temporary knee swelling,Low
minor kidney shock,Low
subtle slight case of throat congestion,Low
intermittent severe episode of heart ulcer,Low
sporadic lung swelling,Low
tiny gradual heart numbness,Low
moderate chronic stomach rash,Low
temporary sudden onset of hand tremor,Low
localized foot ulcer,Low
sporadic stomach congestion,Low
moderate constant abdomen infection,Low
small arm obstruction,Low
mild arm fatigue,Low
low-grade ear burns,Low
manageable leg cramps,Low
small severe episode of head ulcer,Low
manageable ear lesion,Low
localized foot shock,Low
mild stomach pain,Low
moderate shoulder tremor,Low
tiny acute case of ear infection,Low
moderate liver burns,Low
localized lung inflammation,Low
minor foot pain,Low
low-grade chest swelling,Low
low-grade acute case of neck congestion,Low
transient constant kidney palpitations,Low
mild occasional abdomen swelling,Low
tiny chest infection,Low
transient chronic heart numbness,Low
occasional slight case of abdomen failure,Low
subtle stomach infection,Low
tiny severe episode of stomach fatigue,Low
intermittent head bleeding,Low
sporadic lung swelling,Low
localized gradual stomach failure,Low
subtle episodic chest lesion,Low
intermittent throat bleeding,Low
manageable hand ulcer,Low
manageable abdomen ulcer,Low
sporadic head palpitations,Low
sporadic episodic chest numbness,Low
intermittent foot stiffness,Low
small recurring back infection,Low
subtle arm ulcer,Low
occasional liver fatigue,Low
minor lung fracture,Low
intermittent episodic chest infection,Low
intermittent occasional back tremor,Low
tiny throat congestion,Low
manageable episodic stomach inflammation,Low
occasional episodic stomach cramps,Low
subtle gradual arm congestion,Low
sporadic eye rash,Low
localized sudden chest stiffness,Low
localized chronic abdomen palpitations,Low
localized slight case of foot lesion,Low
intermittent constant back cramps,Low
localized sudden throat ulcer,Low
slight liver tremor,Low
occasional back congestion,Low
transient acute case of liver obstruction,Low
temporary ear swelling,Low
transient progressive ear tremor,Low
occasional shoulder weakness,Low
intermittent episodic arm shock,Low
subtle chronic abdomen fatigue,Low
occasional nose swelling,Low
slight head rash,Low
intermittent gradual hand congestion,Low
transient abdomen obstruction,Low
temporary stomach fracture,Low
manageable hand tremor,Low
moderate sudden nose numbness,Low
low-grade stomach bleeding,Low
moderate lung numbness,Low
localized sudden back ulcer,Low
intermittent acute case of kidney rash,Low
mild throat swelling,Low
small shoulder numbness,Low
minor sudden head numbness,Low
moderate arm obstruction,Low
mild lung weakness,Low
subtle severe episode of heart spasm,Low
mild chronic heart infection,Low
intermittent constant hand palpitations,Low
mild chest bleeding,Low
sporadic acute case of eye bleeding,Low
tiny stomach tremor,Low
temporary episodic kidney bleeding,Low
mild throat rash,Low
subtle sudden onset of abdomen fatigue,Low
moderate constant arm tremor,Low
minor heart palpitations,Low
moderate chronic back fatigue,Low
tiny constant ear palpitations,Low
transient abdomen fatigue,Low
low-grade shoulder weakness,Low
temporary progressive shoulder fracture,Low
temporary episodic arm tremor,Low
temporary neck palpitations,Low
subtle ear failure,Low
occasional gradual foot infection,Low
low-grade head cramps,Low
sporadic acute case of eye obstruction,Low
moderate chronic knee obstruction,Low
tiny acute case of knee congestion,Low
low-grade neck obstruction,Low
localized chronic lung infection,Low
small shoulder palpitations,Low
low-grade leg ulcer,Low
manageable sudden onset of heart failure,Low
slight episodic eye tremor,Low
small episodic throat stiffness,Low
minor shoulder stiffness,Low
transient recurring hand rash,Low
localized head spasm,Low
moderate lung failure,Low
moderate episodic liver burns,Low
subtle throat fracture,Low
low-grade back bleeding,Low
low-grade acute case of back fracture,Low
temporary constant liver trauma,Low
low-grade severe episode of knee tremor,Low
subtle sudden neck bleeding,Low
subtle heart spasm,Low
occasional liver infection,Low
occasional severe episode of ear congestion,Low
tiny leg cramps,Low
low-grade chest pain,Low
minor stomach shock,Low
transient foot congestion,Low
minor abdomen rash,Low
mild chest swelling,Low
manageable hand trauma,Low
transient severe episode of ear congestion,Low
small slight case of foot numbness,Low
manageable ear swelling,Low
intermittent eye numbness,Low
slight back burns,Low
manageable back trauma,Low
minor recurring foot bleeding,Low
slight eye stiffness,Low
transient episodic liver failure,Low
mild severe episode of arm ulcer,Low
transient heart weakness,Low
mild occasional knee shock,Low
tiny stomach palpitations,Low
sporadic gradual kidney cramps,Low
low-grade sudden leg bleeding,Low
intermittent eye stiffness,Low
localized progressive chest weakness,Low
temporary stomach palpitations,Low
intermittent neck pain,Low
localized heart weakness,Low
small arm cramps,Low
temporary nose congestion,Low
low-grade chronic hand inflammation,Low
transient recurring stomach trauma,Low
intermittent foot stiffness,Low
manageable slight case of kidney spasm,Low
subtle lung numbness,Low
moderate heart obstruction,Low
occasional arm trauma,Low
manageable chronic liver stiffness,Low
localized heart failure,Low
low-grade sudden onset of throat bleeding,Low
occasional acute case of liver rash,Low
occasional sudden back numbness,Low
temporary constant chest palpitations,Low
intermittent foot ulcer,Low
transient foot ulcer,Low
temporary throat fracture,Low
minor kidney shock,Low
slight slight case of head inflammation,Low
low-grade recurring stomach spasm,Low
transient acute case of shoulder trauma,Low
localized knee palpitations,Low
transient heart congestion,Low
subtle slight case of arm tremor,Low
temporary chronic kidney lesion,Low
slight arm failure,Low
minor chest pain,Low
slight episodic chest infection,Low
tiny chronic throat weakness,Low
transient recurring nose lesion,Low
occasional lung stiffness,Low
occasional shoulder rash,Low
temporary chronic nose obstruction,Low
subtle knee congestion,Low
localized liver infection,Low
minor gradual head stiffness,Low
occasional abdomen spasm,Low
low-grade throat weakness,Low
slight arm pain,Low
localized progressive arm failure,Low
sporadic chronic foot cramps,Low
sporadic knee burns,Low
manageable stomach ulcer,Low
sporadic liver shock,Low
subtle heart fatigue,Low
slight eye failure,Low
sporadic episodic kidney pain,Low
manageable chronic neck fracture,Low
intermittent slight case of shoulder pain,Low
moderate lung bleeding,Low
tiny occasional back tremor,Low
low-grade foot weakness,Low
minor head palpitations,Low
subtle abdomen numbness,Low
sporadic back ulcer,Low
occasional episodic throat fracture,Low
subtle sudden onset of eye failure,Low
temporary slight case of kidney ulcer,Low
low-grade sudden lung inflammation,Low
tiny recurring ear tremor,Low
minor eye numbness,Low
sporadic shoulder shock,Low
small severe episode of head fracture,Low
sporadic kidney fatigue,Low
sporadic liver failure,Low
subtle severe episode of eye lesion,Low
minor foot fracture,Low
mild stomach stiffness,Low
subtle heart bleeding,Low
temporary constant nose stiffness,Low
minor hand weakness,Low
tiny severe episode of liver weakness,Low
low-grade episodic neck spasm,Low
minor constant kidney fatigue,Low
subtle lung obstruction,Low
subtle acute case of stomach fracture,Low
sporadic severe episode of neck ulcer,Low
mild occasional stomach lesion,Low
localized knee lesion,Low
low-grade abdomen spasm,Low
transient chronic throat trauma,Low
low-grade progressive chest inflammation,Low
occasional shoulder burns,Low
temporary kidney stiffness,Low
manageable ear congestion,Low
small constant head swelling,Low
sporadic constant foot congestion,Low
sporadic slight case of heart lesion,Low
transient eye infection,Low
temporary heart fracture,Low
mild sudden onset of throat weakness,Low
manageable constant chest bleeding,Low
subtle abdomen inflammation,Low
intermittent leg pain,Low
low-grade constant neck pain,Low
transient leg spasm,Low
minor recurring chest swelling,Low
low-grade episodic liver palpitations,Low
temporary recurring throat numbness,Low
localized sudden onset of knee shock,Low
small neck bleeding,Low
low-grade progressive nose inflammation,Low
small constant abdomen lesion,Low
minor constant leg burns,Low
slight kidney trauma,Low
moderate head trauma,Low
subtle heart congestion,Low
subtle knee fatigue,Low
minor neck rash,Low
mild slight case of throat cramps,Low
intermittent slight case of eye stiffness,Low
small chest congestion,Low
small head cramps,Low
transient chronic back burns,Low
sporadic severe episode of head burns,Low
mild progressive ear spasm,Low
transient severe episode of shoulder swelling,Low
sporadic foot congestion,Low
minor constant eye weakness,Low
low-grade acute case of stomach numbness,Low
manageable sudden ear bleeding,Low
intermittent abdomen shock,Low
occasional ear lesion,Low
mild gradual neck cramps,Low
subtle heart bleeding,Low
localized acute case of knee tremor,Low
small lung fatigue,Low
manageable hand rash,Low
mild foot obstruction,Low
transient acute case of liver weakness,Low
slight gradual hand trauma,Low
tiny throat burns,Low
manageable back infection,Low
low-grade gradual liver swelling,Low
occasional head swelling,Low
moderate knee fracture,Low
minor foot pain,Low
tiny knee rash,Low
transient eye failure,Low
mild kidney stiffness,Low
localized chronic eye burns,Low
mild recurring abdomen shock,Low
manageable foot inflammation,Low
intermittent gradual leg rash,Low
localized ear shock,Low
moderate neck swelling,Low
transient recurring nose stiffness,Low
occasional head fatigue,Low
temporary heart pain,Low
sporadic progressive eye lesion,Low
slight severe episode of eye fatigue,Low
subtle ear spasm,Low
occasional sudden leg weakness,Low
intermittent leg weakness,Low
manageable gradual chest tremor,Low
slight eye weakness,Low
localized chronic nose shock,Low
manageable kidney rash,Low
subtle back tremor,Low
localized episodic head infection,Low
intermittent back failure,Low
transient heart congestion,Low
sporadic sudden onset of throat failure,Low
sporadic episodic nose infection,Low
subtle constant foot congestion,Low
moderate throat infection,Low
temporary neck bleeding,Low
sporadic liver shock,Low
intermittent acute case of abdomen ulcer,Low
occasional liver congestion,Low
mild nose weakness,Low
temporary episodic stomach tremor,Low
manageable episodic nose shock,Low
small constant head numbness,Low
sporadic gradual ear swelling,Low
transient acute case of neck tremor,Low
transient progressive foot bleeding,Low
transient recurring stomach cramps,Low
subtle arm congestion,Low
moderate neck pain,Low
temporary progressive chest ulcer,Low
low-grade recurring kidney tremor,Low
sporadic hand spasm,Low
moderate shoulder infection,Low
low-grade stomach palpitations,Low
mild progressive foot rash,Low
slight progressive lung burns,Low
sporadic progressive neck spasm,Low
sporadic kidney tremor,Low
minor leg weakness,Low
manageable constant knee spasm,Low
sporadic head lesion,Low
low-grade head ulcer,Low
manageable progressive chest bleeding,Low
occasional sudden leg fatigue,Low
moderate chest shock,Low
tiny severe episode of liver inflammation,Low
mild constant throat trauma,Low
mild chronic throat fracture,Low
tiny eye pain,Low
tiny progressive chest fracture,Low
minor occasional eye shock,Low
low-grade slight case of shoulder congestion,Low
slight progressive shoulder rash,Low
mild constant liver shock,Low
occasional throat infection,Low
occasional lung obstruction,Low
low-grade progressive shoulder congestion,Low
temporary throat congestion,Low
localized gradual shoulder shock,Low
occasional heart shock,Low
minor slight case of lung inflammation,Low
low-grade acute case of shoulder cramps,Low
moderate occasional arm failure,Low
intermittent head numbness,Low
tiny abdomen shock,Low
manageable sudden onset of abdomen tremor,Low
low-grade liver obstruction,Low
slight slight case of knee bleeding,Low
sporadic severe episode of ear pain,Low
transient hand burns,Low
tiny recurring heart burns,Low
sporadic shoulder shock,Low
occasional sudden neck stiffness,Low
transient recurring hand shock,Low
tiny liver stiffness,Low
minor recurring kidney burns,Low
moderate severe episode of eye inflammation,Low
moderate neck cramps,Low
occasional sudden liver rash,Low
manageable episodic arm spasm,Low
slight heart congestion,Low
occasional kidney burns,Low
low-grade leg numbness,Low
transient slight case of abdomen palpitations,Low
occasional eye numbness,Low
transient occasional chest bleeding,Low
sporadic arm swelling,Low
minor sudden onset of knee tremor,Low
low-grade gradual eye palpitations,Low
low-grade episodic shoulder weakness,Low
transient chest trauma,Low
moderate gradual back trauma,Low
subtle knee stiffness,Low
small throat fatigue,Low
occasional abdomen ulcer,Low
minor kidney congestion,Low
low-grade recurring kidney swelling,Low
localized throat congestion,Low
low-grade liver infection,Low
slight constant neck bleeding,Low
tiny progressive eye shock,Low
minor acute case of back lesion,Low
localized episodic heart trauma,Low
transient recurring arm swelling,Low
sporadic shoulder weakness,Low
tiny progressive throat swelling,Low
slight ear tremor,Low
minor kidney pain,Low
minor nose palpitations,Low
low-grade liver obstruction,Low
temporary gradual lung fracture,Low
temporary chronic hand shock,Low
small occasional abdomen swelling,Low
low-grade progressive arm obstruction,Low
moderate constant heart fatigue,Low
subtle constant liver infection,Low
temporary kidney fatigue,Low
occasional episodic ear tremor,Low
temporary sudden onset of head cramps,Low
occasional back swelling,Low
manageable occasional arm lesion,Low
temporary kidney cramps,Low
slight chronic leg congestion,Low
slight progressive nose burns,Low
tiny kidney bleeding,Low
temporary foot ulcer,Low
tiny slight case of ear inflammation,Low
occasional eye ulcer,Low
mild arm numbness,Low
occasional heart rash,Low
sporadic sudden arm ulcer,Low
small chronic eye tremor,Low
temporary sudden head palpitations,Low
low-grade chronic foot obstruction,Low
slight abdomen shock,Low
manageable occasional back swelling,Low
minor throat pain,Low
mild throat infection,Low
sporadic episodic knee tremor,Low
sporadic chronic eye fracture,Low
sporadic nose stiffness,Low
occasional ear failure,Low
small occasional arm burns,Low
occasional stomach lesion,Low
manageable severe episode of foot fatigue,Low
occasional back fatigue,Low
occasional shoulder trauma,Low
small arm numbness,Low
moderate progressive foot weakness,Low
low-grade constant nose pain,Low
low-grade stomach fatigue,Low
intermittent liver failure,Low
temporary hand spasm,Low
moderate arm weakness,Low
intermittent sudden kidney spasm,Low
moderate neck inflammation,Low
sporadic gradual stomach failure,Low
mild severe episode of abdomen congestion,Low
manageable foot cramps,Low
slight acute case of head weakness,Low
intermittent eye palpitations,Low
minor hand inflammation,Low
subtle heart infection,Low
occasional chronic nose shock,Low
slight stomach pain,Low
mild constant throat tremor,Low
sporadic sudden onset of eye burns,Low
transient constant leg trauma,Low
minor liver obstruction,Low
subtle leg fatigue,Low
low-grade episodic heart palpitations,Low
localized progressive chest pain,Low
temporary knee spasm,Low
temporary neck failure,Low
tiny hand weakness,Low
mild hand ulcer,Low
